iter	Passed	Remaining
0	168	737549
1	202	441981
2	237	345982
3	270	295755
4	304	266084
5	339	247088
6	373	233082
7	408	222519
8	442	214229
9	475	207239
10	512	202943
11	550	199962
12	588	197323
13	628	195559
14	667	193920
15	708	192714
16	719	184272
17	758	183405
18	806	184666
19	829	180485
20	872	180784
21	915	180909
22	955	180634
23	993	180008
24	1032	179435
25	1072	179177
26	1110	178672
27	1152	178686
28	1192	178551
29	1230	178061
30	1269	177717
31	1309	177578
32	1343	176642
33	1377	175708
34	1412	174964
35	1446	174196
36	1485	174029
37	1523	173740
38	1574	174903
39	1618	175208
40	1660	175387
41	1699	175125
42	1735	174686
43	1797	176816
44	1856	178491
45	1893	178006
46	1930	177622
47	1967	177167
48	2005	176871
49	2044	176661
50	2082	176385
51	2120	176120
52	2159	175936
53	2195	175531
54	2231	175087
55	2267	174719
56	2302	174252
57	2337	173830
58	2358	172366
59	2392	171919
60	2428	171583
61	2464	171304
62	2500	171007
63	2535	170623
64	2580	170953
65	2634	171821
66	2675	171865
67	2719	172077
68	2761	172167
69	2802	172211
70	2847	172442
71	2896	172918
72	2932	172681
73	2972	172588
74	3013	172619
75	3053	172536
76	3103	173094
77	3154	173611
78	3202	174012
79	3250	174335
80	3296	174568
81	3335	174455
82	3372	174255
83	3409	174010
84	3457	174345
85	3504	174629
86	3567	175692
87	3609	175679
88	3650	175656
89	3689	175510
90	3734	175637
91	3801	176817
92	3865	177802
93	3913	178051
94	3954	177996
95	3997	177997
96	4037	177901
97	4079	177876
98	4105	177158
99	4136	176682
100	4169	176273
101	4202	175901
102	4235	175523
103	4268	175137
104	4302	174804
105	4337	174538
106	4378	174473
107	4430	174896
108	4470	174810
109	4509	174691
110	4546	174502
111	4584	174335
112	4620	174124
113	4656	173877
114	4693	173707
115	4733	173627
116	4774	173599
117	4812	173456
118	4861	173714
119	4905	173779
120	4947	173781
121	4987	173714
122	5038	174008
123	5073	173767
124	5109	173550
125	5149	173490
126	5186	173327
127	5226	173250
128	5265	173134
129	5303	173017
130	5342	172909
131	5379	172765
132	5413	172486
133	5446	172217
134	5489	172257
135	5524	172036
136	5557	171750
137	5592	171537
138	5625	171282
139	5658	171006
140	5692	170783
141	5726	170531
142	5761	170353
143	5794	170097
144	5832	169980
145	5875	170041
146	5915	169991
147	5949	169748
148	5988	169699
149	6022	169469
150	6054	169217
151	6088	168982
152	6124	168854
153	6157	168618
154	6190	168386
155	6223	168160
156	6256	167938
157	6289	167703
158	6322	167495
159	6366	167549
160	6415	167768
161	6449	167562
162	6482	167360
163	6516	167155
164	6549	166948
165	6582	166747
166	6615	166547
167	6649	166352
168	6683	166173
169	6716	165970
170	6769	166273
171	6808	166218
172	6856	166369
173	6902	166482
174	6943	166479
175	6980	166376
176	7016	166250
177	7053	166161
178	7086	165960
179	7121	165805
180	7154	165631
181	7188	165456
182	7222	165290
183	7255	165101
184	7290	164963
185	7325	164825
186	7359	164672
187	7393	164506
188	7429	164400
189	7468	164335
190	7503	164217
191	7537	164053
192	7573	163941
193	7605	163756
194	7639	163594
195	7673	163457
196	7706	163285
197	7741	163166
198	7774	162998
199	7807	162822
200	7845	162761
201	7883	162710
202	7918	162591
203	7952	162449
204	7986	162293
205	8020	162170
206	8058	162111
207	8093	161980
208	8126	161835
209	8159	161683
210	8193	161538
211	8225	161373
212	8271	161477
213	8305	161328
214	8338	161182
215	8372	161057
216	8409	160990
217	8453	161051
218	8493	161022
219	8536	161073
220	8587	161249
221	8631	161311
222	8678	161419
223	8720	161449
224	8765	161524
225	8811	161615
226	8874	162005
227	8927	162230
228	8978	162390
229	9008	162191
230	9048	162161
231	9095	162260
232	9133	162202
233	9173	162181
234	9212	162135
235	9256	162184
236	9295	162135
237	9334	162100
238	9380	162173
239	9422	162178
240	9458	162085
241	9491	161937
242	9535	161986
243	9569	161849
244	9607	161796
245	9643	161706
246	9676	161570
247	9711	161447
248	9744	161309
249	9777	161173
250	9810	161034
251	9851	161021
252	9889	160972
253	9923	160852
254	9957	160723
255	9990	160591
256	10024	160476
257	10059	160373
258	10086	160142
259	10120	160015
260	10153	159893
261	10187	159777
262	10221	159656
263	10254	159533
264	10287	159402
265	10321	159283
